Date,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2011-12,1661.0,1547.0,3146.0,1655.0,1823.0
2012-01,1667.185078,1518.791663,3107.298353,1655.731895,1809.1049545
2012-02,1659.778297,1507.987454,3119.152998,1661.762491,1802.640266
2012-03,1657.108414,1507.268747,3128.888819,1681.7530955,1797.090207
2012-04,1661.946443,1509.429156,3147.760019,1698.845787,1804.623906
2012-05,1664.867319,1524.326572,3158.727016,1715.973046,1813.270487
2012-06,1678.295056,1550.406219,3169.675657,1729.9424715,1807.6595345
2012-07,1681.877536,1564.628897,3189.360037,1740.9944965,1784.839576
2012-08,1682.012684,1569.356039,3198.469081,1730.993834,1754.9945975
2012-09,1671.936791,1557.808084,3209.260236,1704.6146695,1749.485785
2012-10,1681.570311,1561.458146,3221.54498,1688.8942235,1763.1098705
2012-11,1673.70548,1567.267967,3223.39661,1696.6530175,1785.5136935
2012-12,1697.130922,1561.0079,3211.132311,1714.268713,1809.261038
2013-01,1707.30735,1548.465399,3197.30332,1711.2053125,1834.965605
2013-02,1703.613517,1533.058353,3165.93024,1709.9124295,1860.117262
2013-03,1704.159676,1536.743648,3164.453231,1724.481852,1885.607682
2013-04,1731.582567,1549.208605,3173.112929,1735.4628645,1910.0762325
2013-05,1759.571983,1568.693304,3211.025083,1746.0070005,1929.6187245
2013-06,1779.344547,1576.377489,3247.472938,1760.014351,1943.1679585
2013-07,1809.283263,1573.835201,3248.025314,1771.167696,1956.9207775
2013-08,1809.836047,1563.127832,3199.497165,1784.297892,1970.774609
2013-09,1798.156717,1556.097159,3183.275299,1782.307579,1987.385816
2013-10,1794.671493,1566.715372,3233.885984,1804.3306505,2006.2070455
2013-11,1801.20667,1574.488101,3280.183544,1823.8785265,2001.876722
2013-12,1830.811007,1582.778097,3310.322484,1855.421276,1975.577296
2014-01,1835.548826,1569.638157,3286.579346,1868.070275,1933.5914285
2014-02,1870.314367,1580.803891,3337.039626,1893.321822,1919.205209
2014-03,1876.837243,1574.059937,3324.819564,1888.298845,1914.565015
2014-04,1887.242079,1566.334519,3320.820197,1895.3602765,1927.355524
2014-05,1872.580304,1548.443307,3312.661097,1906.800046,1931.0390295
2014-06,1882.135707,1549.602896,3316.77726,1918.239269,1926.315066
2014-07,1893.414703,1562.019652,3359.529197,1946.58984,1940.892504
2014-08,1908.846688,1578.816892,3413.478207,1978.2765875,1978.276587
2014-09,1924.07157,1582.627332,3453.437405,2015.376993,2013.4747965
2014-10,1939.749501,1612.804008,3498.221459,2040.311453,2023.1539635
2014-11,1969.170949,1646.560054,3566.908583,2054.8495095,2062.9865795
2014-12,1975.256785,1656.791127,3632.047912,2058.481194,2110.9173825
2015-01,1967.227719,1659.698227,3641.34139,2051.317814,2140.2130575
2015-02,1962.586958,1656.082406,3634.952419,2061.722024,2143.616209
2015-03,1998.719916,1665.918705,3657.944344,2077.6167545,2148.862991
2015-04,2032.617821,1678.24695,3680.299089,2079.899109,2141.508061
2015-05,2048.728207,1677.788559,3677.058146,2071.0796985,2116.733809
2015-06,2064.224273,1680.624178,3676.484077,2072.7698195,2090.3356655
2015-07,2076.204304,1686.440676,3686.59354,2074.7783395,2046.734371
2015-08,2089.280126,1687.385859,3702.557822,2092.605492,2017.5472245
2015-09,2081.179535,1683.90654,3705.352904,2104.409102,2013.3871265
2015-10,2080.341996,1702.443267,3615.674267,2136.836906,2015.776384
2015-11,2094.839695,1723.819041,3585.581658,2150.017126,2020.1598965
2015-12,2125.41721,1744.274978,3557.327501,2162.194092,2025.1166225
2016-01,2152.664184,1751.126027,3596.675515,2158.8637045,2031.05821
2016-02,2161.591555,1757.066495,3608.363534,2159.2119965,2028.3362415
2016-03,2159.207818,1759.46002,3611.023452,2161.581617,2024.3760195
2016-04,2138.727335,1746.343673,3610.875196,2162.364905,2008.2479485
2016-05,2129.342623,1732.330557,3618.373624,2166.1204625,2001.0916945
2016-06,2122.65985,1722.016033,3619.901535,2162.630184,2011.6833935
2016-07,2125.780743,1721.13899,3620.132146,2161.0692675,2033.560064
2016-08,2130.713173,1716.407834,3600.98042,2140.577586,2033.008513
